day,case,deaths
0,1,0
1,1,0
2,0,0
3,2,0
4,5,0
5,3,0
6,7,0
7,7,0
8,21,0
9,57,0
10,70,0
11,154,1
12,356,1
13,621,0
14,643,2
15,1032,6
16,2122,9
17,2453,8
18,2976,20
19,3706,24
20,4010,46
21,2634,44
22,2575,49
23,3554,82
24,4488,95
25,4831,121
26,5021,189
27,5088,214
28,3452,262
29,3521,289
30,6098,321
31,5258,372
32,5149,421
33,5750,472
34,5642,469
35,3848,482
36,3763,550
37,6347,547
38,6041,577
39,5550,531
40,5028,522
41,4412,506
42,3704,516
43,2867,542
44,3285,538
45,4119,490
46,3866,432
47,3525,389
48,3553,356
49,2117,358
50,2351,364
51,3769,333
52,3058,294
53,3458,290
54,2834,300
55,2465,292
56,1589,232
57,1010,224
58,2303,240
59,2713,204
60,2336,206
61,2002,188
62,1865,173
63,1047,167
64,776,150
65,1545,123
66,1507,107
67,1384,110
68,1215,92
69,1058,85
70,637,71
72,6230,115
73,10405,98
74,17174,74
75,29106,79
76,50104,97
77,86780,96
78,150001,86
79,256872,95
80,426501,49
81,681500,59
82,1019712,88
83,1365835,77
84,1529073,79
85,1305537,67
86,779152,64
87,322908,44
88,106636,21
89,33751,60
90,11390,50
91,4199,67
92,1626,63
93,607,43
94,204,16
95,64,21
96,20,35
97,7,40
98,2,38
99,1,35
100,0,26
101,0,16
