day,case,deaths
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,100,1
12,100,1
13,0,0
14,200,2
15,600,6
16,900,9
17,800,8
18,2000,20
19,2400,24
20,4600,46
21,4400,44
22,4900,49
23,8200,82
24,9500,95
25,12100,121
26,18900,189
27,21400,214
28,26200,262
29,28900,289
30,32100,321
31,37200,372
32,42100,421
33,47200,472
34,46900,469
35,48200,482
36,55000,550
37,54700,547
38,57700,577
39,53100,531
40,52200,522
41,50600,506
42,51600,516
43,54200,542
44,53800,538
45,49000,490
46,43200,432
47,38900,389
48,35600,356
49,35800,358
50,36400,364
51,33300,333
52,29400,294
53,29000,290
54,30000,300
55,29200,292
56,23200,232
57,22400,224
58,24000,240
59,20400,204
60,20600,206
61,18800,188
62,17300,173
63,16700,167
64,15000,150
65,12300,123
66,10700,107
67,11000,110
68,9200,92
69,8500,85
70,7100,71
72,38829,440
73,51076,451
74,70829,613
75,100986,697
76,145010,733
77,209057,856
78,298368,1001
79,417012,1075
80,548280,1097
81,684123,1166
82,792760,1222
83,833221,1379
84,777274,1343
85,635175,1296
86,456438,1277
87,295126,1227
88,178257,1201
89,103960,1304
90,59820,1320
91,34238,1214
92,19466,1088
93,10958,912
94,6115,890
95,3403,844
96,1900,875
97,1065,765
98,598,749
99,335,666
100,187,741
101,104,668
