day,case,deaths
0,10,0
1,10,0
2,0,0
3,20,0
4,50,0
5,30,0
6,70,0
7,70,0
8,210,0
9,570,0
10,700,0
11,1540,1
12,3560,1
13,6210,0
14,6430,2
15,10320,6
16,21220,9
17,24530,8
18,29760,20
19,37060,24
20,40100,46
21,26340,44
22,25750,49
23,35540,82
24,44880,95
25,48310,121
26,50210,189
27,50880,214
28,34520,262
29,35210,289
30,60980,321
31,52580,372
32,51490,421
33,57500,472
34,56420,469
35,38480,482
36,37630,550
37,63470,547
38,60410,577
39,55500,531
40,50280,522
41,44120,506
42,37040,516
43,28670,542
44,32850,538
45,41190,490
46,38660,432
47,35250,389
48,35530,356
49,21170,358
50,23510,364
51,37690,333
52,30580,294
53,34580,290
54,28340,300
55,24650,292
56,15890,232
57,10100,224
58,23030,240
59,27130,204
60,23360,206
61,20020,188
62,18650,173
63,10470,167
64,7760,150
65,15450,123
66,15070,107
67,13840,110
68,12150,92
69,10580,85
70,6370,71
72,38405,1208
73,52585,1202
74,69475,841
75,93822,868
76,128792,1464
77,178079,1216
78,245338,1238
79,334339,1376
80,430377,1356
81,531812,911
82,623242,928
83,681730,1500
84,685151,1417
85,625072,1341
86,515525,1226
87,386877,1008
88,269517,834
89,178277,724
90,114259,786
91,71941,995
92,44801,971
93,27653,843
94,16935,897
95,10319,498
96,6275,600
97,3817,867
98,2324,742
99,1415,833
100,860,667
101,522,563
